siteID;rep_number;leaf_bag_number;rest_weight_60;rest_weight_500;OMD_weight_60;OMD_weight_500;number_disks;comment
S2;1;557;5.069;0.929;26.22;2.86;25;
S2;2;614;6.876;2.02;25.11;2.17;25;
S2;3;699;5.394;1.027;33.19;4.55;25;
S3;1;569;7.145;2.49;NA;NA;0;
S3;2;554;5.945;1.878;NA;NA;0;
S3;3;121;9.321;3.736;NA;NA;3;
S5;1;34;9.015;4.193;NA;NA;0;
S5;2;565;7.664;3.404;NA;NA;0;
S5;3;266;7.123;2.727;31.81;6.91;25;
S7;1;612;3.586;1.56;NA;NA;0;
S7;2;253;4.907;1.786;NA;NA;0;
S7;3;10;5.346;3.209;NA;NA;0;
S8;1;181;4.614;0.915;33.7;4.63;25;
S8;2;724;4.754;0.964;NA;NA;0;
S8;3;75;4.199;0.531;28.42;3.02;25;
S10;1;221;6.737;3.6;NA;NA;3;
S10;2;69;6.058;3.014;NA;NA;15;only 12 Ergo disks
S10;3;688;6.96;3.781;NA;NA;3;
S11;1;95;4.497;0.898;36.63;5.41;25;
S11;2;511;5.056;1.102;27.2;3.15;25;
S11;3;665;6.245;2.168;28.96;3.15;25;
S104;1;532;4.541;0.55759;35.26;4.05;25;
S104;2;546;5.145;0.87183;11.68;1.62;25;
S104;3;601;4.497;0.66537;25.09;2.85;25;
S14;1;579;6.29;2.437;31.63;4.95;25;
S14;2;596;4.845;1.301;36.03;6.18;25;
S14;3;649;5.536;1.481;36.55;4.37;25;
S15;1;517;6.113;1.643;35.3;7.26;25;
S15;2;613;4.077;2.352;NA;NA;0;
S15;3;710;4.056;2.057;NA;NA;0;
S16;1;545;7.125;4.462;NA;NA;3;
S16;2;663;5.039;2.3;33.62;9.08;25;
S16;3;693;4.693;2.238;43.71;10.62;25;
S17;1;226;4.028;1.423;NA;NA;3;
S17;2;572;9.179;5.681;NA;NA;18;
S17;3;730;4.468;2.183;NA;NA;3;
S20;1;216;14.339;9.196;NA;NA;3;
S20;2;739;10.349;5.976;NA;NA;3;
S21;1;524;4.716;1.812;NA;NA;15;only 12 Ergo disks
S21;2;552;5.434;2.041;27.59;7.96;22;only 12 Ergo disks
S21;3;610;6.464;3.662;NA;NA;0;
S22;1;600;4.983;1.495;39.11;10.04;25;
S22;2;682;5.913;1.864;25.24;5.63;25;
S22;3;713;6.827;2.717;29.79;5.27;25;
S23;1;547;7.271;3.771;34.03;9.33;25;
S23;2;590;7.808;4.557;NA;NA;18;
S23;3;732;7.453;4.01;NA;NA;18;
S26;1;580;5.702;1.043;30.08;5.21;25;
S26;2;544;6.432;1.631;30.85;5.25;25;
S26;3;540;5.289;0.846;38.38;4.28;25;
S28;1;521;4.996;0.638;29.39;3.12;25;
S28;2;701;5.239;2.805;32.86;4.11;25;
S28;3;607;4.986;0.67678;25.76;2.98;25;
S29;1;762;4.82;0.612;24.64;3.11;25;
S29;2;718;5.139;0.909;22.12;3.38;25;
S29;3;588;5.378;0.9897;87.83;14.68;25;
S90;1;689;5.216;0.508;26.5;2.5;25;
S90;2;558;4.899;0.659;29.18;2.5;10;
S90;3;624;5.054;0.478;23.11;1.83;25;
S30;1;690;5.987;2.055;28.27;5.41;25;
S30;2;595;5.747;2.035;28.12;2.71;10;
S30;3;670;6.517;2.69;NA;NA;0;
S31;1;681;4.875;1.329;26.11;3.11;25;
S31;2;584;4.424;0.805;23.09;1.2;25;
S31;3;81;5.03;0.96606;24.69;2.31;25;
S105;1;79;7.68;2.824;30.98;6.63;10;
S105;2;587;8.999;4.372;26.35;5.09;15;
S105;3;172;13.203;7.543;31.34;6.09;25;
S35;1;759;7.923;3.867;22.12;5.37;10;
S35;2;510;10.655;6.245;44.04;24.04;10;
S35;3;153;6.85;3.027;28.12;4.74;25;
S37;1;529;10.466;6.767;NA;NA;0;
S37;2;564;8.656;4.912;NA;NA;3;
S37;3;691;6.633;3.214;NA;NA;0;
S38;1;644;4.587;0.844;30.15;5.1;25;
S38;2;528;10.217;5.85;31.29;5.84;22;only 12 Ergo disks
S38;3;574;5.772;1.7;33.58;5.87;25;
S39;1;197;6.105;2.101;37.15;5.59;10;
S39;2;243;6.555;2.877;NA;NA;0;
S39;3;82;7.553;3.594;55.64;29.5;9;
S106;1;13;3.444;0.38266;NA;NA;0;
S106;2;152;4.415;0.67881;NA;NA;0;
S106;3;164;6.142;1.648;22.6;1.81;25;
S92;1;519;8.598;3.844;31.39;7.72;25;
S92;2;535;9.853;4.873;37.98;12.72;25;
S92;3;631;9.741;4.909;33;6.73;25;
S93;1;274;13.274;8.889;NA;NA;3;
S93;2;625;10.096;5.337;NA;NA;3;
S93;3;738;9.138;4.284;;;0;
S43;1;213;4.1;1.067;24.68;3.39;10;
S43;2;28;5.265;1.696;NA;NA;0;
S43;3;669;5.331;1.684;27.5;2.77;10;
S107;1;224;3.568;1.335;NA;NA;0;
S107;2;255;1.716;0.697;NA;NA;0;
S107;3;176;3.776;0.7481;NA;NA;3;
S44;1;119;5.321;1.254;27.6;3.28;25;
S44;2;187;6.271;2.119;29.43;5.97;25;
S44;3;271;4.564;0.81272;21.86;2.46;19;
S108;1;536;6.312;3.171;NA;NA;0;
S108;2;576;5.458;2.769;NA;NA;0;
S108;3;709;7.695;4.204;NA;NA;0;
S45;1;502;6.097;1.371;27.21;4.44;25;
S45;2;506;5.083;0.72429;26.78;5.55;22;only 12 Ergo disks
S45;3;571;3.399;1.531;NA;NA;25;
S109;1;159;4.311;1.445;NA;NA;0;
S109;2;136;5.862;2.868;36.62;10.43;25;
S109;3;109;6.37;2.474;33.49;9.32;25;
S48;1;161;5.604;1.276;28.66;3.95;25;
S48;2;626;5.012;0.8705;36.1;4.75;25;
S48;3;697;5.298;0.917;22.19;2.41;25;
S49;1;526;7.309;3.805;NA;NA;3;
S49;2;597;7.66;4.486;NA;NA;3;
S49;3;704;8.601;4.588;27.26;5.21;25;
S95;1;166;32.908;26.026;112.84;75.75;25;
S95;2;171;33.892;27.286;33.86;14.3;25;
S95;3;660;24.354;18.397;48.2;19.8;25;
S50;1;747;4.294;1.364;NA;NA;0;
S50;2;39;3.143;1.073;NA;NA;0;
S50;3;548;3.449;1.789;NA;NA;0;
S53;1;262;4.472;0.755;24.22;2.09;25;
S53;2;175;4.47;0.883;34.77;4.85;25;
S53;3;85;4.204;0.896;NA;NA;0;
S56;1;636;3.397;1.012;NA;NA;0;
S56;2;87;5.11;1.443;23.4;3.25;25;
S56;3;503;6.319;2.597;NA;NA;0;
S57;1;652;5.061;2.303;NA;NA;0;
S57;2;719;4.884;2.442;NA;NA;0;
S57;3;647;4.197;1.525;NA;NA;0;
S58;1;683;4.375;0.893;28.93;4.04;25;
S58;2;563;3.753;0.764;NA;NA;0;
S58;3;711;3.627;0.878;NA;NA;0;
S112;1;586;3.894;0.46;30.85;2.26;25;
S112;2;585;4.155;0.705;31.13;3.73;10;
S112;3;140;3.976;1.222;NA;NA;0;
S59;1;505;5.354;1.825;21.66;2.75;25;
S59;2;65;12.262;8.945;32.99;10.03;10;
S59;3;86;5.845;2.041;25.17;3.26;10;
S60;1;645;6.625;2.665;25.64;3.4;25;
S60;2;566;5.365;1.771;29.2;2.46;25;
S114;1;76;9.328;4.597;NA;NA;0;
S114;2;622;6.084;2.159;38.4;6.62;25;
S114;3;559;6.825;2.718;25.55;3.52;10;
S96;1;592;6.013;1.789;NA;NA;0;
S96;2;765;5.465;1.557;NA;NA;0;
S96;3;215;4.634;0.8485;NA;NA;3;
S61;1;513;12.731;8.681;54.09;28.75;25;
S61;2;530;4.036;1.543;29.9;8.73;25;
S61;3;568;11.181;6.929;35.66;8.71;10;
S63;1;731;7.123;3.831;NA;NA;0;
S63;2;694;7.438;4.256;NA;NA;0;dried out
S63;3;192;6.571;2.798;NA;NA;3;
S65;1;749;5.318;1.112;26.25;4.3;25;
S65;2;583;5.228;0.906;33.64;2.52;25;
S65;3;666;5.472;1.235;26.35;2.76;25;
S66;1;766;13.51;9.146;NA;NA;0;
S66;2;581;10.702;6.369;26.36;5.72;10;
S66;3;734;12.242;8.711;NA;NA;0;
S123;1;646;3.089;1.223;NA;NA;0;
S123;2;712;9.163;4.912;NA;NA;3;
S70;1;620;5.684;2.506;NA;NA;0;
S70;2;760;10.531;6.209;37.18;10.77;10;
S70;3;661;5.636;1.636;25.67;3.21;25;
S97;1;653;4.445;2.149;22.25;3.4;25;
S97;2;538;1.872;0.634;NA;NA;0;
S97;3;527;28.343;23.298;43.2;10.9;25;
S74;1;717;22.187;12.549;NA;NA;0;dried out
S74;2;655;26.045;15.187;NA;NA;0;dried out
S74;3;550;22.117;12.589;;;0;
S75;1;139;21.31;15.736;39.7;15.74;7;dried out
S75;2;678;3.966;0.48065;26.96;2.06;0;dried out
S75;3;236;;;NA;NA;0;dried out
S98;1;275;6.496;3.475;NA;NA;0;
S98;2;643;8.901;5.574;NA;NA;0;
S98;3;47;9.46;5.909;NA;NA;0;
S76;1;657;10.385;5.603;27.84;5.29;25;dried out
S76;2;662;11.448;6.509;29.6;3.53;25;
S76;3;728;5.602;1.665;28.19;5.07;25;
S99;1;41;;;NA;NA;0;dried out
S78;1;183;4.442;0.894;34.02;5.9;25;
S78;2;553;4.719;0.826;28.83;2.85;25;
S78;3;578;5.613;1.425;33.51;4.24;25;
S80;1;245;5.726;2.482;NA;NA;0;
S80;2;210;6.351;0.785;NA;NA;0;
S80;3;114;8.556;5.109;NA;NA;3;
S81;1;72;13.282;8.768;40.28;11.9;10;
S81;2;66;41.484;36.506;34.16;8.8;25;
S81;3;679;15.584;12.343;49.93;29.17;22;only 12 Ergo disks
S101;1;589;5.235;0.378;37.55;2.89;25;
S101;2;144;4.749;0.69848;21.5;1.91;25;
S101;3;633;4.555;0.49193;25.51;2.59;25;
S116;1;603;5.481;1.305;25.13;2.7;25;
