siteID;type;dateOUT;dateIN;rep_number;leafbag;weight_start;rest_weight_60;rest_weight_500;comments
S2;coarse;03.06.2019;11.06.2019;1;L028;5.981;4.022;0.497;
S2;coarse;03.06.2019;11.06.2019;2;L038;6.004;3.778;0.636;
S2;coarse;03.06.2019;11.06.2019;3;L005;5.994;4.104;0.739;
S3;coarse;03.06.2019;11.06.2019;1;L053;5.99;2.146;0.627;
S3;coarse;03.06.2019;11.06.2019;2;L151;5.992;NA;NA;do not use
S3;coarse;03.06.2019;11.06.2019;3;L015;6.045;4.461;2.023;
S5;coarse;03.06.2019;11.06.2019;1;L029;6.04;2.317;0.245;
S5;coarse;03.06.2019;11.06.2019;2;L122;6.002;1.023;0.094;do not use
S5;coarse;03.06.2019;11.06.2019;3;L042;6.025;NA;NA;do not use
S7;coarse;06.06.2019;12.06.2019;1;L183;6.043;6.717;3.069;
S7;coarse;06.06.2019;12.06.2019;2;L084;5.992;5.393;1.776;
S7;coarse;06.06.2019;12.06.2019;3;L101;5.976;4.926;1.571;
S8;coarse;06.06.2019;12.06.2019;1;L055;5.98;NA;NA;do not use
S8;coarse;06.06.2019;12.06.2019;2;L111;5.99;4.409;0.529;
S8;coarse;06.06.2019;12.06.2019;3;L144;6.027;4.108;0.464;
S10;coarse;06.06.2019;14.06.2019;1;L159;6.023;2.333;0.219;
S10;coarse;06.06.2019;14.06.2019;2;L221;5.96;1.386;0.132;
S10;coarse;06.06.2019;14.06.2019;3;L213;5.98;1.612;0.124;
S11;coarse;05.06.2019;13.06.2019;1;L008;6.002;4.135;0.948;
S11;coarse;05.06.2019;13.06.2019;2;L041;6.03;4.04;0.922;
S11;coarse;05.06.2019;13.06.2019;3;L033;5.977;4.076;0.671;do not use
S104;coarse;03.06.2019;11.06.2019;1;L007;5.983;3.952;0.432;
S104;coarse;03.06.2019;11.06.2019;2;L017;5.992;2.854;0.332;
S104;coarse;03.06.2019;11.06.2019;3;L010;5.993;3.443;0.39;
S14;coarse;04.06.2019;11.06.2019;1;L142;5.981;NA;NA;do not use
S14;coarse;04.06.2019;11.06.2019;2;L214;6.043;3.604;0.42;
S14;coarse;04.06.2019;11.06.2019;3;L103;5.99;3.298;0.403;
S15;coarse;05.06.2019;13.06.2019;1;L127;5.954;3.841;0.562;
S15;coarse;05.06.2019;13.06.2019;2;L095;6.042;3.601;0.552;
S15;coarse;05.06.2019;13.06.2019;3;L116;6.03;4.116;0.688;
S16;coarse;06.06.2019;13.06.2019;1;L171;5.972;2.42;0.268;
S16;coarse;06.06.2019;13.06.2019;2;L215;5.967;1.643;0.16;
