number_bag;type;initial weight;weight_60;weight_500
L076;coarse;6.049;5.7264;0.47863
L173;coarse;6.015;5.70572;0.43343
514;fine;5.98;4.89642;0.23135
512;fine;8.025;7.689;0.373
89;fine;5.955;5.677;0.275
789;fine;6.047;5.738;0.278
54;fine;7.99;7.644;0.374
134;fine;6.011;5.745;0.283
131;fine;8.018;7.691;0.352
58;fine;7.989;7.646;0.392
L044;coarse;6.015;5.64;0.414
L086;coarse;6.009;5.742;0.418
L198;coarse;6.025;5.719;0.387
L107;coarse;5.984;5.907;0.508
L313;coarse;5.998;5.615;0.444
L056;coarse;6.01;5.6;0.4
