siteID;dateOUT;dateIN;fineNr;comments
S2;11.06.2019 14:15;01.07.2019 15:30;557;
S2;11.06.2019 14:15;01.07.2019 15:30;614;
S2;11.06.2019 14:15;01.07.2019 15:30;699;
S3;11.06.2019 12:30;01.07.2019 13:45;121;
S3;11.06.2019 12:30;01.07.2019 13:45;554;
S3;11.06.2019 12:30;01.07.2019 13:45;569;
S5;11.06.2019 16:00;01.07.2019 17:00;34;
S5;11.06.2019 16:00;01.07.2019 17:00;266;
S5;11.06.2019 16:00;01.07.2019 17:00;565;
S7;12.06.2019 08:15;03.07.2019 11:30;10;
S7;12.06.2019 08:15;03.07.2019 11:30;253;
S7;12.06.2019 08:15;03.07.2019 11:30;612;
S8;12.06.2019 09:30;03.07.2019 12:20;75;
S8;12.06.2019 09:30;03.07.2019 12:20;181;
S8;12.06.2019 09:30;03.07.2019 12:20;724;
S10;14.06.2019 08:30;08.07.2019 16:05;221;
S10;14.06.2019 08:30;08.07.2019 16:05;69;
S10;14.06.2019 08:30;08.07.2019 16:05;688;
S11;13.06.2019 14:15;09.07.2019 11:00;95;
S11;13.06.2019 14:15;09.07.2019 11:00;511;
S11;13.06.2019 14:15;09.07.2019 11:00;665;
S104;11.06.2019 18:30;01.07.2019 17:15;532;
S104;11.06.2019 18:30;01.07.2019 17:15;546;
S104;11.06.2019 18:30;01.07.2019 17:15;601;
S14;11.06.2019 15:50;01.07.2019 15:15;579;
S14;11.06.2019 15:50;01.07.2019 15:15;596;
S14;11.06.2019 15:50;01.07.2019 15:15;649;
S15;13.06.2019 12:30;09.07.2019 13:30;517;
S15;13.06.2019 12:30;09.07.2019 13:30;613;
S15;13.06.2019 12:30;09.07.2019 13:30;710;
S16;13.06.2019 17:00;08.07.2019 18:20;545;
S16;13.06.2019 17:00;08.07.2019 18:20;663;
S16;13.06.2019 17:00;08.07.2019 18:20;693;
S17;13.06.2019 14:40;09.07.2019 09:25;226;
S17;13.06.2019 14:40;09.07.2019 09:25;572;
S17;13.06.2019 14:40;09.07.2019 09:25;730;
S20;14.06.2019 09:30;08.07.2019 14:40;8;
S20;14.06.2019 09:30;08.07.2019 14:40;216;
S20;14.06.2019 09:30;08.07.2019 14:40;739;
S21;12.06.2019 14:45;02.07.2019 14:15;524;
S21;12.06.2019 14:45;02.07.2019 14:15;552;
S21;12.06.2019 14:45;02.07.2019 14:15;610;
S22;12.06.2019 16:50;02.07.2019 15:10;600;
S22;12.06.2019 16:50;02.07.2019 15:10;682;
S22;12.06.2019 16:50;02.07.2019 15:10;713;
S23;12.06.2019 12:30;02.07.2019 12:00;NA;
S23;12.06.2019 12:30;02.07.2019 12:00;NA;
S23;12.06.2019 12:30;02.07.2019 12:00;NA;
S26;12.06.2019 14:00;02.07.2019 11:45;540;
S26;12.06.2019 14:00;02.07.2019 11:45;544;
S26;12.06.2019 14:00;02.07.2019 11:45;580;
S28;12.06.2019 16:00;02.07.2019 13:30;521;
S28;12.06.2019 16:00;02.07.2019 13:30;607;
S28;12.06.2019 16:00;02.07.2019 13:30;701;
S29;13.06.2019 10:15;02.07.2019 16:00;588;
S29;13.06.2019 10:15;02.07.2019 16:00;718;
S29;13.06.2019 10:15;02.07.2019 16:00;762;
S90;12.06.2019 11:45;02.07.2019 09:30;558;
S90;12.06.2019 11:45;02.07.2019 09:30;624;
S90;12.06.2019 11:45;02.07.2019 09:30;689;
S30;14.06.2019 15:30;05.07.2019 13:45;595;
S30;14.06.2019 15:30;05.07.2019 13:45;670;
S30;14.06.2019 15:30;05.07.2019 13:45;690;
S31;14.06.2019 17:30;05.07.2019 16:00;81;
S31;14.06.2019 17:30;05.07.2019 16:00;584;
S31;14.06.2019 17:30;05.07.2019 16:00;681;
S105;12.06.2019;03.07.2019;79;
S105;12.06.2019;03.07.2019;172;
S105;12.06.2019;03.07.2019;537;
S35;12.06.2019 14:00;03.07.2019;153;
S35;12.06.2019 14:00;03.07.2019;510;
S35;12.06.2019 14:00;03.07.2019;759;
S37;13.06.2019 12:10;04.07.2019 15:00;529;
S37;13.06.2019 12:10;04.07.2019 15:00;564;
S37;13.06.2019 12:10;04.07.2019 15:00;691;
S38;12.06.2019;04.07.2019 15:00;528;
S38;12.06.2019;04.07.2019 15:00;574;
S38;12.06.2019;04.07.2019 15:00;644;
S39;12.06.2019;03.07.2019 11:10;82;
S39;12.06.2019;03.07.2019 11:10;197;
S39;12.06.2019;03.07.2019 11:10;243;
S106;14.06.2019 08:15;05.07.2019 10:40;13;
S106;14.06.2019 08:15;05.07.2019 10:40;152;
S106;14.06.2019 08:15;05.07.2019 10:40;164;
S92;12.06.2019 15:20;04.07.2019 08:45;519;
S92;12.06.2019 15:20;04.07.2019 08:45;535;
S92;12.06.2019 15:20;04.07.2019 08:45;631;
S93;13.06.2019 08:58;04.07.2019 13:15;738;
S93;13.06.2019 08:58;04.07.2019 13:15;274;
S93;13.06.2019 08:58;04.07.2019 13:15;625;
S43;13.06.2019 09:30;04.07.2019 12:00;28;
S43;13.06.2019 09:30;04.07.2019 12:00;213;
S43;13.06.2019 09:30;04.07.2019 12:00;669;
S107;14.06.2019 09:39;05.07.2019 11:41;176;
S107;14.06.2019 09:39;05.07.2019 11:41;224;
S107;14.06.2019 09:39;05.07.2019 11:41;255;
S44;13.06.2019 16:35;04.07.2019 19:10;119;
S44;13.06.2019 16:35;04.07.2019 19:10;187;
S44;13.06.2019 16:35;04.07.2019 19:10;271;
S108;11.06.2019 18:00;02.07.2019 16:00;536;
S108;11.06.2019 18:00;02.07.2019 16:00;576;
S108;11.06.2019 18:00;02.07.2019 16:00;709;
S45;13.06.2019 15:00;04.07.2019 17:20;502;
S45;13.06.2019 15:00;04.07.2019 17:20;506;
S45;13.06.2019 15:00;04.07.2019 17:20;517;
S109;12.06.2019;03.07.2019 14:30;136;
S109;12.06.2019;03.07.2019 14:30;109;
S109;12.06.2019;03.07.2019 14:30;159;
S48;12.06.2019 09:00;03.07.2019 10:40;161;
S48;12.06.2019 09:00;03.07.2019 10:40;626;
S48;12.06.2019 09:00;03.07.2019 10:40;697;
S49;12.06.2019 12:10;03.07.2019 14:40;526;
S49;12.06.2019 12:10;03.07.2019 14:40;597;
S49;12.06.2019 12:10;03.07.2019 14:40;704;
S95;11.06.2019 18:50;02.07.2019 18:00;166;
S95;11.06.2019 18:50;02.07.2019 18:00;171;
S95;11.06.2019 18:50;02.07.2019 18:00;660;
S50;12.06.2019 10:45;03.07.2019 12:40;39;
S50;12.06.2019 10:45;03.07.2019 12:40;548;
S50;12.06.2019 10:45;03.07.2019 12:40;747;
S53;11.06.2019 17:45;01.07.2019 14:30;85;
S53;11.06.2019 17:45;01.07.2019 14:30;175;
S53;11.06.2019 17:45;01.07.2019 14:30;262;
S56;11.06.2019 09:15;01.07.2019 09:30;87;
S56;11.06.2019 09:15;01.07.2019 09:30;503;
S56;11.06.2019 09:15;01.07.2019 09:30;636;
S57;11.06.2019 07:45;01.07.2019 07:40;647;
S57;11.06.2019 07:45;01.07.2019 07:40;652;
S57;11.06.2019 07:45;01.07.2019 07:40;719;
S58;11.06.2019 15:30;01.07.2019 12:30;563;
S58;11.06.2019 15:30;01.07.2019 12:30;683;
S58;11.06.2019 15:30;01.07.2019 12:30;711;
S112;11.06.2019 14:15;01.07.2019 13:40;140;
S112;11.06.2019 14:15;01.07.2019 13:40;585;
S112;11.06.2019 14:15;01.07.2019 13:40;586;
S59;12.06.2019 14:00;03.07.2019 09:25;65;
S59;12.06.2019 14:00;03.07.2019 09:25;86;
S59;12.06.2019 14:00;03.07.2019 09:25;505;
S60;12.06.2019 13:00;03.07.2019 07:50;143;lost
S60;12.06.2019 13:00;03.07.2019 07:50;566;
S60;12.06.2019 13:00;03.07.2019 07:50;645;
S114;11.06.2019 13:15;01.07.2019 11:45;76;
S114;11.06.2019 13:15;01.07.2019 11:45;559;
S114;11.06.2019 13:15;01.07.2019 11:45;622;
S96;13.06.2019 19:15;04.07.2019 17:15;215;
S96;13.06.2019 19:15;04.07.2019 17:15;592;
S96;13.06.2019 19:15;04.07.2019 17:15;756;
S61;14.06.2019 09:45;04.07.2019 14:30;513;
S61;14.06.2019 09:45;04.07.2019 14:30;530;
S61;14.06.2019 09:45;04.07.2019 14:30;568;
S63;13.06.2019 14:30;05.07.2019 09:45;694;
S63;13.06.2019 14:30;05.07.2019 09:45;192;
S63;13.06.2019 14:30;05.07.2019 09:45;731;
S65;13.06.2019 16:45;04.07.2019 18:30;583;
S65;13.06.2019 16:45;04.07.2019 18:30;666;
S65;13.06.2019 16:45;04.07.2019 18:30;749;
S66;10.06.2019 16:00;01.07.2019;581;
S66;10.06.2019 16:00;01.07.2019;734;
S66;10.06.2019 16:00;01.07.2019;766;
S123;10.06.2019;01.07.2019 16:30;561;
S123;10.06.2019;01.07.2019 16:30;712;
S123;10.06.2019;01.07.2019 16:30;979;
S70;10.06.2019 13:30;01.07.2019 10:45;661;
S70;10.06.2019 13:30;01.07.2019 10:45;670;
S70;10.06.2019 13:30;01.07.2019 10:45;760;
S97;10.06.2019 18:15;01.07.2019 14:40;527;
S97;10.06.2019 18:15;01.07.2019 14:40;538;
S97;10.06.2019 18:15;01.07.2019 14:40;653;
S74;11.06.2019 10:00;02.07.2019 10:00;655;
S74;11.06.2019 10:00;02.07.2019 10:00;550;
S74;11.06.2019 10:00;02.07.2019 10:00;717;
S75;14.06.2019 14:15;08.07.2019;139;
S75;14.06.2019 14:15;08.07.2019;678;
S75;14.06.2019 14:15;08.07.2019;236;
S98;13.06.2019 14:30;04.07.2019 14:30;47;
S98;13.06.2019 14:30;04.07.2019 14:30;275;
S98;13.06.2019 14:30;04.07.2019 14:30;643;
S76;11.06.2019 14:00;02.07.2019 10:45;657;
S76;11.06.2019 14:00;02.07.2019 10:45;662;
S76;11.06.2019 14:00;02.07.2019 10:45;728;
S99;13.06.2019 17:00;05.07.2019;252;
S99;13.06.2019 17:00;05.07.2019;725;
S99;13.06.2019 17:00;05.07.2019;41;
S78;13.06.2019 13:00;04.07.2019 09:50;183;
S78;13.06.2019 13:00;04.07.2019 09:50;553;
S78;13.06.2019 13:00;04.07.2019 09:50;578;
S80;13.06.2019 19:00;04.07.2019 16:15;114;
S80;13.06.2019 19:00;04.07.2019 16:15;210;
S80;13.06.2019 19:00;04.07.2019 16:15;245;
S81;14.06.2019 10:00;05.07.2019;66;
S81;14.06.2019 10:00;05.07.2019;72;
S81;14.06.2019 10:00;05.07.2019;679;
S101;14.06.2019 12:15;08.07.2019;144;
S101;14.06.2019 12:15;08.07.2019;589;
S101;14.06.2019 12:15;08.07.2019;633;
S116;11.06.2019 14:45;01.07.2019 14:00;603;
