siteID;rep_number;Peak tension;comment
S2;1;26.4;broken
S2;2;58.1;
S2;3;77.4;
S3;1;53.4;
S3;2;102.9;
S3;3;58.4;
S5;1;23.3;
S5;2;48.9;
S5;3;73;
S7;1;NA;
S7;2;NA;
S7;3;NA;
S8;1;172.8;
S8;2;73;
S8;3;114.2;
S10;1;16.3;
S11;1;13.2;broken
S11;2;30.9;
S11;3;32.7;
S104;1;155.1;
S104;2;129.6;
S104;3;153.6;
S14;1;31.8;
S14;2;49.3;
S14;3;28.7;
S15;1;35.5;
S15;2;34.3;
S15;3;12.4;
S16;1;31.8;
S17;1;17.7;
S17;2;16.4;
S17;3;5.8;broken
S20;1;72.9;
S20;2;49.4;
S20;3;NA;broken
S21;1;68.9;
S21;2;43.1;
S21;3;84.7;
S22;1;36.9;
S22;2;32.6;
S22;3;NA;
S23;1;12.4;broken
S23;2;17;
S23;3;43.1;
S26;1;104.1;
S26;2;90.9;
S26;3;76.8;
S28;1;65.7;
S28;2;112.4;
S28;3;92.7;
S29;1;87.1;
S29;2;51.4;
S29;3;73.3;
S90;1;200.3;
S90;2;246.6;
S90;3;210.2;
S30;1;51.1;
S30;2;100.4;
S30;3;56.1;
S31;1;78.7;
S31;2;81.1;
S31;3;75.6;
S105;1;106.4;
S105;2;272.2;
S105;3;200.7;
S35;1;88.5;
S35;2;65;
S35;3;50.2;
S37;1;51.5;
S37;2;56;
S37;3;91.4;
S38;1;109.8;
S38;2;56.1;
S38;3;77.8;
S39;1;307;
S39;2;61.5;
S39;3;59.2;
S106;1;88.7;
S106;2;89.8;
S106;3;40;
S92;1;26.5;
S92;2;48.9;
S92;3;29.4;broken
S93;1;66.7;
S93;2;40.5;
S93;3;65.7;
S43;1;113.8;
S43;2;85.3;
S43;3;63.1;
S107;1;187.6;
S107;2;131.8;
S107;3;176.2;
S44;1;126.7;
S44;2;84.3;
S44;3;160.6;
S108;1;150.8;
S108;2;131.8;
S108;3;160.9;
S45;1;142.2;
S45;2;106.2;
S45;3;109.8;
S109;1;185.9;
S109;2;192.8;
S109;3;163.2;
S48;1;53.2;
S48;2;59.4;
S48;3;37.5;
S49;1;109.2;
S49;2;101.6;
S49;3;86.1;
S95;1;73.9;
S95;2;51.9;
S95;3;44.2;
S50;1;76.5;
S50;2;NA;
S50;3;NA;
S53;1;69.5;
S53;2;48.8;too short
S53;3;80.8;too short
S56;1;9.7;
S56;2;44.2;
S56;3;NA;
S57;1;34.1;
S57;2;NA;
S57;3;NA;broken
S58;1;40.1;
S58;2;66.8;broken
S58;3;8;broken
S112;1;113.2;
S112;2;69.5;
S112;3;NA;
S59;1;46.3;
S59;2;57.9;
S60;1;100.5;
S60;2;29.3;
S60;3;40.7;
S114;1;149.5;
S114;2;85.9;
S114;3;64.5;
S96;1;107;
S96;2;82.1;
S96;3;123.7;
S61;1;118.2;
S61;2;105.9;
S61;3;104;
S63;1;49.7;
S63;1;26.4;
S65;1;80;
S65;2;119.9;
S65;3;186;
S66;1;64.7;
S123;1;185.7;
S123;2;250.2;
S123;3;195.5;
S70;1;78.8;
S70;2;53.3;
S70;3;77.4;
S74;1;79.8;
S74;2;94.4;
S74;3;139;
S75;1;49.3;
S75;2;53;
S75;3;17.2;
S98;1;38.7;
S98;2;39.5;
S98;3;NA;broken
S76;1;85.6;
S76;2;48.1;
S76;3;76.1;broken
S99;1;190.5;
S99;2;86.8;
S99;3;56.7;
S78;1;40.6;
S78;2;61.9;
S78;3;97.8;
S80;1;37.9;
S80;2;15.3;
S80;3;NA;
S81;1;53;
S81;2;36.1;
S81;3;84.1;
S101;1;53.9;
S101;2;35.9;
S101;3;54.6;
S116;1;118.9;
S116;2;102.1;
S116;3;107.3;
S83;1;117.6;
S83;2;82;
S83;3;72.2;
S118;1;38.3;
S118;2;32.4;
S118;3;NA;
S102;1;66.4;
S102;2;89.6;
S102;3;81.6;
S86;1;64.4;
S86;2;60.5;
S86;3;65.6;
