siteID;type;rep_number;weight;weight_60;weight_500;comment
S2;coarse;1;NA;NA;NA;empty
S2;coarse;2;NA;NA;NA;empty
S2;coarse;3;NA;NA;NA;empty
S2;fine;1;3.5554;0.4969;0.0056;
S2;fine;2;3.364;0.497;0.0094;
S2;fine;3;3.1585;0.4737;0.0123;
S3;coarse;1;0.63;0.097;0.001;
S3;coarse;2;0.477;0.098;0.0012;
S3;coarse;3;NA;NA;NA;empty
S3;fine;1;4.0363;0.5191;0.0049;
S3;fine;2;3.1581;0.4568;0.0058;
S3;fine;3;3.7357;0.4803;0.0086;
S5;coarse;1;1.473;0.202;0.0099;
S5;coarse;2;1.846;0.272;0.0039;
S5;coarse;3;1.097;0.204;0.0042;
S5;fine;1;3.5808;0.4858;0.0174;
S5;fine;2;3.6899;0.5;0.0218;
S5;fine;3;3.0218;0.4762;0.0072;
S7;coarse;1;1.071;0.198;0.002;
S7;coarse;2;0.997;0.194;0.0018;
S7;coarse;3;0.882;0.199;0.003;
S7;fine;1;1.983;0.3652;0.0062;
S7;fine;2;2.1;0.3659;0.0069;
S7;fine;3;2.335;0.3616;0.0067;
S8;coarse;1;NA;NA;NA;empty
S8;coarse;2;NA;NA;NA;empty
S8;coarse;3;NA;NA;NA;empty
S8;fine;1;2.9254;0.4866;0.007;
S8;fine;2;2.5267;0.4372;0.0174;
S8;fine;3;2.2287;0.4592;0.0126;
S10;coarse;1;NA;NA;NA;empty
S10;coarse;2;NA;NA;NA;empty
S10;coarse;3;NA;NA;NA;empty
S10;fine;1;1.2848;2.462;0.0068;
S10;fine;2;2.143;0.2521;0.048;
S10;fine;3;1.2075;0.2244;0.0438;
S11;fine;1;3.3985;0.443;0.0108;
S11;fine;2;3.7404;0.4282;0.00759;
S11;fine;3;3.2418;0.4424;0.0063;
S11;coarse;1;1.2665;0.1731;0.0096;
S11;coarse;2;3.8655;0.4941;0.1033;
S11;coarse;3;2.3744;0.3188;0.0046;
S104;coarse;1;2.542;0.505;0.0069;
S104;coarse;2;3.0562;0.5315;0.1015;
S104;coarse;3;2.4752;0.4762;0.0079;
S104;fine;1;3.2129;0.5271;0.006;
S104;fine;2;3.733;0.5337;0.0074;
S104;fine;3;4.0355;0.5511;0.006;
S14;coarse;1;0.2887;0.1043;0.0094;
S14;coarse;2;NA;NA;NA;empty
S14;coarse;3;NA;NA;NA;empty
S14;fine;1;2.4096;0.3279;0.0164;
S14;fine;2;2.6088;0.4052;0.0171;
S14;fine;3;3.0082;0.4156;0.0202;
S15;coarse;1;NA;NA;NA;dried out
S15;coarse;2;NA;NA;NA;dried out
S15;coarse;3;NA;NA;NA;dried out
S15;fine;1;2.5356;0.4443;0.0242;dried out
S15;fine;2;3.7039;0.4191;0.0155;dried out
S15;fine;3;3.5201;0.4583;0.0548;dried out
S16;coarse;0;NA;NA;NA;empty
S16;coarse;0;NA;NA;NA;empty
S16;coarse;0;NA;NA;NA;empty
S16;fine;1;3.2007;0.2978;0.0212;
S16;fine;2;4.4102;0.386;0.0279;
S16;fine;3;4.7183;0.4993;0.0361;
S17;coarse;1;NA;NA;NA;empty
S17;coarse;2;NA;NA;NA;empty
S17;coarse;3;NA;NA;NA;empty
S17;fine;1;NA;NA;NA;empty
S17;fine;2;NA;NA;NA;empty
S17;fine;3;NA;NA;NA;empty
S20;coarse;1;NA;NA;NA;empty
S20;coarse;2;NA;NA;NA;empty
S20;coarse;3;NA;NA;NA;empty
S20;fine;1;2.6902;0.4146;0.0053;
S20;fine;2;2.862;0.4266;0.0086;
S20;fine;3;3.5775;0.4598;0.0075;
S21;coarse;1;NA;NA;NA;empty
S21;coarse;2;NA;NA;NA;empty
S21;coarse;3;NA;NA;NA;empty
S21;fine;1;1.8973;0.1475;0.0062;
S21;fine;2;0.5066;0.3308;0.0068;
S21;fine;3;1.9238;0.3682;0.1395;
S22;coarse;1;NA;NA;NA;empty
S22;coarse;2;NA;NA;NA;empty
S22;coarse;3;NA;NA;NA;empty
S22;fine;1;3.194;0.5093;0.1323;
S22;fine;2;3.538;0.5284;0.0808;
S22;fine;3;2.72;0.4286;0.113;
S23;coarse;1;NA;NA;NA;empty
S23;coarse;2;NA;NA;NA;empty
S23;coarse;3;NA;NA;NA;empty
S23;fine;1;1.828;0.3569;0.0324;
S23;fine;2;2.2696;0.4625;0.033;
S23;fine;3;2.2742;0.4013;0.0074;
