type;weight;weight_60;weight_500;comment
fine;4.0404;0.5668;0.0063;
fine;3.5075;0.5294;0.003;
fine;3.2752;0.5587;0.0052;
fine;3.4391;0.566;0.0057;
fine;5.8597;0.5757;0.0056;
fine;5.7149;0.5675;0.0051;
fine;5.841;0.5862;0.0063;
fine;3.3551;0.5621;0.0079;
fine;4.229;0.5957;0.0072;
coarse;2.34;0.5586;0.0029;
coarse;4.706;0.5424;0.0028;
coarse;3.211;0.5269;0.0037;
coarse;1.094;0.5444;0.003;
coarse;3.683;0.5495;0.0036;
coarse;3.2354;0.5215;0.0036;
coarse;3.4629;0.5307;0.0033;
coarse;3.7105;0.5628;0.0035;
