"siteID","streamType","area","ratio_agri","agri_buffer","urb_buffer","for_buffer","grass_buffer","spec_buffer","FU_rich_buffer","fine_sub","sand","CPOM","temp","temp_coarse","speartaxa","abu_shr","perc_shred","EC_t1","EC_t2","O2_t1","O2_t2","NO2_t1","NO3_t1","PO4_t1","NH4_t1","NO2_t2","NO3_t2","PO4_t2","NH4_t2","TP_t1","TNb_t1","NP_ratio_t1","As_t1","Zn_t1","Pb_t1","Hg_t1","Cu_t1","Cd_t1","TP_t2","TNb_t2","NP_ratio_t2","As_t2","Zn_t2","Pb_t2","Hg_t2","Cu_t2","Cd_t2","pH_t1","pH_t2","flow_t1","flow_t2","sumTU_fu_date_t1","sumTU_fu_date_t2","sumTU_iv_date_t1","sumTU_iv_date_t2"
"S2","14.0",15.27875,85.63,92.9470093972882,0.645262724966418,1.93069226682454,4.47703561092085,0,0,80,70,10,13.5362367703738,13.0194675925926,0.412046046025999,118.72,28.6486486486487,492.6,493.5,NA,NA,0.129333333333333,2.15433333333333,3.95266666666667,1.04066666666667,0.076,1.682,1.073,0.258,0.299,3.55033333333333,7.70165669742603,0.666666666666667,0.5,0.15,0.01,0.733333333333333,0.005,0.3345,4.915,9.75204644964782,0.975,0.5,0.2125,0.009,0.85,0.005,7.87,7.82,0.13,0.13,-2.41126029495752,-2.33803231421985,-4.06164910212172,-3.33725094445564
"S3","11.0",8.323125,63.94,41.8049502914326,0.609043545370512,12.6346281669749,44.951377996222,0,0,77.5,72.5,5,14.6968630952381,14.8429236111111,0.500656978495487,143.52,20.2027027027027,370.9,380.8,NA,NA,0.101666666666667,5.725,0.708,0.250666666666667,0.059,1.726,0.31,0.26,0.168666666666667,1.93666666666667,11.8558898156536,0.666666666666667,2.33333333333333,0.39,0.00833333333333333,3.43333333333333,0.005,0.1185,1.64,13.0812324929972,0.7,3.25,0.5725,0.0075,4.9,0.005,7.615,7.53,0.18,0.18,-3.31045059953336,-3.64665780005607,-3.98334248534629,-3.39348628762816
"S5","14.0",18.319375,85.85,57.0509523473652,3.23882824157305,11.7366677578162,27.9735516532456,0,0,25,25,5,17.0450880707287,16.6566157407407,0.509148327626356,372.64,56.7771818625061,643.6,625.3,5.89,5.72,0.24575,23.16275,3.052,0.65775,0.1725,9.318,1.4935,1.0515,0.04225,6.72975,168.67739359406,1.35,1.25,0.0875,0.00175,2.575,0.00875,0.0515,1.335,22.7721661054994,1.45,1.25,0.0875,0.0025,1.35,0.0125,7.755,7.71,0.02,0.02,-2.48798276481609,-2.53128474373572,-2.84897940000542,-2.17658733242155
"S7","5.0",15.07,17.59,55.6418661177723,8.15144300130994,2.8502261134821,33.3564647674357,30.6983468290354,30.7195732964368,0,0,10,16.9212017195704,13.8479666666667,0.629880472084076,4.88,1.85523114355231,93.6,89.9,8.34,9.13,0.025,4.98,0.075,0.029,0.025,5.976,0.075,0.023,0.079,1.80233333333333,43.0885491320274,0.233333333333333,3.16666666666667,0.04,0.006,4.13333333333333,0.01,0.161,1.95,12.111801242236,0.05,3,0.025,0.001,0.9,0.02,7.6015,7.74,0.23625,0.295,-3.07828712139775,-3.9974163694987,-2.0949270524494,-1.59232646135472
"S8","6.0",6.26375,43.61,47.8767485339011,3.97911684373697,13.2362064914799,34.907928130882,0.788865536901698,0.904726970817501,20,10,0,18.0405211663337,15.732673992674,0.44694045151608,274.72,50.4406580493537,496.3,522.2,5.71,7.15,0.083,1.288,0.498333333333333,0.128666666666667,0.112,1.682,0.71,0.1815,0.0125,0.69875,38.9144736842105,1.5,1,0.0533333333333333,0.003,2,0.005,0.019,1.36,71.5789473684211,1.25,1.25,0.0675,0.001,2.25,0.005,7.469,6.88,0.18625,0.065,-2.64834073900698,-2.20115521747158,-3.31588382021668,-2.23640074122914
"S10","2.1",19.291875,59.48,49.8422200898923,3.78215261818892,27.5685887722137,18.8070385197051,0,0,15,12.5,2.5,17.3804863617886,15.9723680555556,0.647518920882398,62.64,17.7269640027168,603.2,710.3,6.81,6.37,0.1215,16.844,1.0075,0.067,0.151,17.486,0.963,0.098,0.0995,5.365,60.7900432900433,1.7,1.25,0.025,0.003,2.5,0.005,0.154,7.43,48.2467532467532,1.5,0.5,0.025,0.001,1.4,0.005,7.495,6.94,0.145,0.2,-2.06071120846527,-2.05275718135183,-1.40932407926947,-1.56250476924585
"S11","2.1",2.815,75.68,46.1465442348406,3.46449147784566,21.9992665936457,28.389697693668,0,0,45,17.5,0,15.6200006831563,14.6539741166009,0.15263100289337,5.92,5.79029733959311,658,631.3,7.68,8.1,0.212,30.3235,0.6965,0.0885,0.194,33.555,0.396,0.077,0.135,12.2,156.301879591642,0.95,0.5,0.025,0.0025,0.75,0.005,0.047,12.1,257.446808510638,0.9,0.5,0.025,0.001,0.1,0.005,7.505,6.83,0.275,0.3,-2.15120152857693,-2.0215300520523,-3.30609133040516,-3.04236463625366
"S104","6.1",14.395625,0,0,0,82.100222655705,17.899777344295,0,0,20,15,7.5,15.457859445711,14.7440178571429,0.618247505124902,129.76,32.4789747697237,855.5,774.6,8.52,8.8,0.025,2.6785,0.075,0.018,0.025,2.258,0.075,0.01,0.0065,0.591,124.433333333333,1,0.5,0.025,0.0035,1.85,0.0125,0.003,0.56,186.666666666667,0.8,0.5,0.025,0.001,2.8,0.005,6.885,6.87,0.275,0.45,-2.4367245908056,-2.36476837247928,-4.47229281514613,-4.4157747653057
"S14","6.1",13.00875,76.51,68.9855821937726,10.8167803340651,1.02427035331786,19.1733671188444,0,0,60,50,0,16.1311695906433,16.3745259069898,0.174453764665085,363.36,28.3839520059992,1583.9,1743.2,7.98,8.53,0.383,43.1016666666667,1.51866666666667,0.0706666666666667,0.591,49.978,2.738,0.149,0.163666666666667,15.1,634.844979997419,1.15,3.25,0.0625,0.002,1.75,0.005,0.01,17.4,1740,1.1,0.5,0.025,0.001,2.5,0.005,6.745,6.73,0.3,0.3,-1.93906265409613,-1.72153757267335,-2.26460435341512,-1.93627910196005
"S15","3.1",15.551875,36.51,47.9427710325235,12.8608495893342,0,39.1963793781423,0,0,5,5,0,17.8140095243987,15.7977388753576,0.500314324135837,0.24,0.0336398295581969,556,523.3,7.41,8.475,0.025,23.395,0.1465,0.0325,0.025,26.073,0.075,0.028,0.021,7.04,333.680555555556,0.375,0.5,0.025,0.0025,0.7,0.005,0.024,8.27,344.583333333333,0.05,0.5,0.025,0.001,0.1,0.005,7.775,7.04,0.275,0.35,-2.65485698624521,-3.11451813228222,-4.09847627887603,-5.1152439937405
